Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
8,1.03,4.3,4.2,1.4,0.0,0.0,0.0,0.0,0.0
9,1.12,4.6,4.1,1.2,0.0,0.0,0.0,0.0,0.0
10,0.89,3.6,4.0,1.1,0.0,0.0,0.0,0.0,0.0
7,0.99,4.0,4.1,1.1,0.0,0.0,0.0,0.0,0.0
14,0.9,3.8,4.2,0.9,0.0,0.0,0.0,0.0,0.0
12,0.92,3.7,4.0,1.5,0.0,0.0,0.0,0.0,0.0
5,0.92,3.6,3.9,1.2,0.0,0.0,0.0,0.0,0.0
6,0.9,3.7,4.1,1.1,0.0,0.0,0.0,0.0,0.0
11,0.94,3.9,4.1,1.2,0.0,0.0,0.0,0.0,0.0
13,0.86,3.5,4.1,1.3,0.0,0.0,0.0,0.0,0.0
1,0.92,3.9,4.2,1.4,0.0,0.0,0.0,0.0,0.0
3,0.93,3.8,4.0,1.1,0.0,0.0,0.0,0.0,0.0
2,0.83,3.4,4.1,1.6,0.0,0.0,0.0,0.0,0.0
0,0.9,3.7,4.1,1.1,0.0,0.0,0.0,0.0,0.0
10,0.95,13.6,14.2,4.4,0.157,191.0,0.111,32844.0,1.0
9,1.14,16.9,14.8,4.4,0.148,248.0,0.158,31008.0,1.0
4,1.1,16.9,15.3,4.1,0.121,243.0,0.173,25194.0,1.0
6,0.98,14.8,15.1,4.7,0.084,209.0,0.122,17544.0,1.0
8,0.99,15.4,15.6,5.2,0.08,229.0,0.153,16728.0,1.0
5,0.96,13.6,14.2,4.4,0.074,201.0,0.106,15555.0,1.0
12,0.94,13.5,14.3,5.6,0.072,202.0,0.114,14994.0,1.0
13,0.92,13.8,14.9,5.3,0.05,195.0,0.109,10353.0,1.0
7,1.01,15.2,15.1,4.2,0.047,224.0,0.159,9843.0,1.0
2,0.96,13.8,14.5,6.1,0.0409999999999999,200.0,0.124,8619.0,1.0
11,0.96,14.2,14.9,4.2,0.035,201.0,0.142,7293.0,1.0
3,0.96,14.4,14.9,4.5,0.032,201.0,0.1,6681.0,1.0
1,0.96,14.2,14.8,5.1,0.024,203.0,0.134,5049.0,1.0
14,1.04,15.2,14.6,3.5,0.024,225.0,0.1639999999999999,4998.0,1.0
0,0.94,14.2,15.1,4.7,0.011,192.0,0.107,2244.0,1.0
4,1.08,17.1,15.8,3.6,0.156,238.0,0.208,9588.0,1.0
9,1.16,17.7,15.3,3.7,0.132,241.0,0.171,8109.0,1.0
